whisper_model,Filename,Average NUBIA Score
base,phi-3-Q8_0,0.35648372902338776
base,Llama-32-1B,0.21404040252043968
base,gemma2,0.22256958610765884
base,Llama-32-3B_Q8_0,0.26376606918752143
base,Llama-32-3B,0.2615114194938901
base,gemma2_Q2_K,0.1735022521917658
base,phi-3-Q2_k,0.24641127157202913
base,Llama3-8B-Q8_0,0.28586375375923506
base,Llama-32-3B_Q4_K_M,0.2672507491399842
base,Llama3-8B-Q4_K_M,0.2525313010857098
base,llama3_8B,0.3749485659256664
base,Llama3-8B,0.25340624248417276
base,Llama-32-1B_Q8_0,0.24319388801860162
base,bitnet_b1_58_large,0.18795945193711214
base,Llama-32-3B_Q2_K,0.22259723500626477
base,phi-3-Q4_K_M,0.3792008122745697
base,gemma2_Q4_K_M,0.1918177204422809
base,gemma2_Q8_0,0.24454514847914877
base,Llama-32-1B_Q2_K,0.22313320682169718
base,Llama3-8B-Q2_k,0.22383613287532075
base,Llama-32-1B_Q4_K_M,0.26181251595684346
base,phi-3,0.3934728745843085
small,gemma2_Q8_0,0.2502858353174065
small,Llama-32-1B_Q2_K,0.20256250541026027
small,gemma2,0.2278481796890349
small,phi-3-Q2_k,0.18176084418481625
small,Llama3-8B-Q2_k,0.20531223071666854
small,phi-3,0.368021612531169
small,Llama-32-3B_Q2_K,0.23474557128459614
small,bitnet_b1_58_large,0.1919953284356198
small,gemma2_Q4_K_M,0.17656744013279674
small,phi-3-Q8_0,0.37276494245223285
small,gemma2_Q2_K,0.2088472132596558
small,Llama-32-3B_Q8_0,0.24956585927329336
small,Llama-32-1B,0.24551860380254248
small,llama3_8B,0.3747837423853545
small,Llama3-8B-Q4_K_M,0.2681739828597524
small,Llama-32-3B_Q4_K_M,0.29414600096696514
small,Llama-32-1B_Q4_K_M,0.194672608827499
small,Llama-32-3B,0.24634851744127637
small,phi-3-Q4_K_M,0.4006422865855896
small,Llama-32-1B_Q8_0,0.22503114461219695
small,Llama3-8B,0.2565189283346359
small,Llama3-8B-Q8_0,0.29327524623712226
tiny,Llama-32-3B_Q4_K_M,0.29137673588329993
tiny,gemma2,0.2502734137741486
tiny,Llama-32-1B_Q2_K,0.2672041968396733
tiny,phi-3-Q2_k,0.1104361621506508
tiny,Llama3-8B-Q8_0,0.250282079605291
tiny,Llama3-8B,0.27401651009236366
tiny,Llama-32-3B_Q2_K,0.2385503093442044
tiny,phi-3-Q8_0,0.33922658713403847
tiny,phi-3-Q4_K_M,0.3181160089543282
tiny,Llama-32-1B,0.2775865752700701
tiny,llama3_8B,0.3756561222984179
tiny,Llama3-8B-Q4_K_M,0.3330245120133587
tiny,gemma2_Q2_K,0.19685879419952013
tiny,Llama-32-1B_Q4_K_M,0.23243335304981633
tiny,phi-3,0.34871462956564814
tiny,gemma2_Q8_0,0.2017156615276144
tiny,Llama3-8B-Q2_k,0.21594021763281981
tiny,gemma2_Q4_K_M,0.21213088854446757
tiny,Llama-32-1B_Q8_0,0.21889231356825833
tiny,bitnet_b1_58_large,0.21915363072118607
tiny,Llama-32-3B,0.19098689266031935
tiny,Llama-32-3B_Q8_0,0.27054662073367025
medium,gemma2_Q8_0,0.1997582605462971
medium,Llama3-8B,0.27699417634626156
medium,phi-3-Q2_k,0.2124323571654963
medium,Llama-32-1B_Q8_0,0.24460341510314715
medium,Llama3-8B-Q2_k,0.22742845099883546
medium,llama3_8B,0.4055809827289709
medium,Llama-32-1B,0.22326042326082748
medium,phi-3-Q4_K_M,0.3946805836963678
medium,phi-3,0.36846661537235953
medium,Llama-32-3B_Q8_0,0.2810616891656897
medium,Llama-32-1B_Q4_K_M,0.28239409534043564
medium,Llama3-8B-Q8_0,0.2696649275820685
medium,phi-3-Q8_0,0.41836678328542404
medium,Llama-32-1B_Q2_K,0.30261609098550063
medium,Llama-32-3B_Q4_K_M,0.3154285443051734
medium,gemma2_Q2_K,0.2422624338689331
medium,bitnet_b1_58_large,0.226584680419021
medium,gemma2,0.24760788186439614
medium,Llama3-8B-Q4_K_M,0.28182382304354414
medium,gemma2_Q4_K_M,0.24358378523663393
medium,Llama-32-3B_Q2_K,0.22371168043185377
medium,Llama-32-3B,0.29628074294430656
