Model,Avg Transcription Time,Avg Words per Second,Avg Inference Time,Avg Tokens per Second,Avg Overall Time,Avg Other Data Processing Time,Model Type
Llama-3.2-1B_Q2_K,15.279081,8.336175,20.637839,8.939105,35.917126,0.000208,Base
llama3.2-8B_Q8_0,15.470286,8.156114,594.010673,0.33971,609.481222,0.000263,Base
phi-3-Q8_0,17.298021,7.849436,80.67122,2.34401,97.969449,0.000208,Base
Llama-3.2-1B,15.265304,8.411119,29.739198,6.119932,45.004668,0.000166,Base
Llama-3.2-1B_Q4_K_M,15.292542,8.321103,17.387068,10.079099,32.67979,0.000183,Base
Llama-3.2-3B_Q2_K,13.491246,9.051857,53.548212,3.286,67.040008,0.000549,Base
phi-3-Q4_K_M,16.803633,8.081748,79.708712,2.387138,96.512535,0.000188,Base
gemma2_Q8_0,19.166,7.975105,42.181619,4.8419,61.348786,0.000242,Base
phi-3,17.042761,8.002652,934.529641,0.203575,951.572569,0.000165,Base
llama3.2-8B,13.385648,9.496317,1149.489551,0.202975,1162.875357,0.000156,Base
llama3.2-8B_Q2_K,12.945538,9.825255,118.562439,1.531102,131.508525,0.000548,Base
Llama-3.2-3B_Q8_0,14.552901,8.410165,50.718854,3.389,65.272012,0.000258,Base
Llama-3.2-1B_Q8_0,15.286359,8.322122,17.26218,10.305353,32.548727,0.000188,Base
gemma2_Q4_K_M,19.096,7.996109,42.142411,4.91951,61.239957,0.000226,Base
Llama3-8B-1.58-100B-tokens,17.167319,8.024039,64.01461,3.064649,81.182135,0.000206,Base
llama3.2-8B_Q4_k_M,15.112417,8.350013,107.034597,1.597923,122.147198,0.000184,Base
Llama-3.2-3B,14.490494,8.438378,311.13692,0.629,325.627605,0.000192,Base
bitnet_b1_58-large,17.196991,8.032442,8.613897,21.971371,25.811069,0.00018,Base
phi-3-Q2_k,14.415737,9.430567,76.288265,2.243371,90.704523,0.000522,Base
gemma2_Q2_K,18.956,8.06313,45.766651,4.454407,64.723982,0.000255,Base
gemma2,19.035,8.020395,67.570381,2.939649,86.605251,0.000167,Base
Llama-3.2-3B_Q4_K_M,14.439381,8.466275,52.49176,3.473,66.931372,0.000231,Base
phi-3-Q4_K_M,162.825197,0.836553,82.082141,2.321626,244.907576,0.00024,Medium
phi-3,163.797319,0.83092,934.411151,0.203266,1098.208705,0.000237,Medium
bitnet_b1_58-large,169.220481,0.818403,8.967581,20.827973,178.188252,0.000193,Medium
gemma2_Q4_K_M,181.976,0.844634,40.482039,4.810835,222.457433,0.000245,Medium
phi-3-Q2_k,156.098906,0.873301,81.795206,2.140446,237.894655,0.000545,Medium
Llama-3.2-1B_Q4_K_M,155.274376,0.805455,19.743861,9.065287,175.018423,0.000185,Medium
gemma2,178.661,0.859674,76.324195,2.640597,254.987719,0.00021,Medium
