Model,Avg Transcription Time,Avg Words per Second,Avg Inference Time,Avg Tokens per Second,Avg Overall Time,Avg Other Data Processing Time
phi-3-Q4_K_M,162.825197,0.836553,82.082141,2.321626,244.907576,0.000240
phi-3,163.797319,0.830920,934.411151,0.203266,1098.208705,0.000237
bitnet_b1_58-large,169.220481,0.818403,8.967581,20.827973,178.188252,0.000193
gemma2_Q4_K_M,181.976000,0.844634,40.482039,4.810835,222.457433,0.000245
phi-3-Q2_k,156.098906,0.873301,81.795206,2.140446,237.894655,0.000545
Llama-3.2-1B_Q4_K_M,155.274376,0.805455,19.743861,9.065287,175.018423,0.000185
gemma2,178.661000,0.859674,76.324195,2.640597,254.987719,0.000210
Llama-3.2-3B_Q2_K,133.276052,0.912131,57.925044,3.118000,191.201667,0.000570
llama3.2-8B_Q8_0,148.843961,0.836521,759.658014,0.341774,908.502211,0.000237
Llama-3.2-1B,154.065847,0.811323,31.943673,5.561470,186.009731,0.000210
llama3.2-8B,142.956807,0.871797,1108.590319,0.183657,1251.547633,0.000509
Llama3-8B-1.58-100B-tokens,171.910920,0.807762,66.140936,2.968840,238.052080,0.000223
Llama-3.2-1B_Q8_0,154.170764,0.810972,21.537412,8.395169,175.708377,0.000198
phi-3-Q8_0,163.927778,0.830944,81.818059,2.310792,245.746056,0.000215
Llama-3.2-1B_Q2_K,156.097725,0.801298,21.830945,8.355655,177.928863,0.000194
gemma2_Q2_K,180.774000,0.848627,47.725523,4.383319,228.500544,0.000248
Llama-3.2-3B_Q8_0,137.541650,0.886424,54.222935,3.223000,191.764783,0.000198
llama3.2-8B_Q4_k_M,149.904562,0.830257,112.084245,1.562251,261.989033,0.000221
llama3.2-8B_Q2_K,142.382039,0.873945,125.982624,1.420989,268.365185,0.000521
gemma2_Q8_0,180.991000,0.849143,40.248431,4.931368,221.238768,0.000200
Llama-3.2-3B,135.398988,0.897870,329.494709,0.550000,464.893880,0.000182
Llama-3.2-3B_Q4_K_M,134.885070,0.903539,53.971578,3.392000,188.856867,0.000217
