Model,Avg Transcription Time,Avg Words per Second,Avg Inference Time,Avg Tokens per Second,Avg Overall Time,Avg Other Data Processing Time
llama3.2-8B_Q4_k_M,46.461969,2.724012,114.156398,1.552824,160.618602,0.000237
phi-3,55.472809,2.434964,889.281860,0.222521,944.754935,0.000269
phi-3-Q2_k,49.853395,2.712652,80.289975,2.175344,130.143896,0.000529
Llama-3.2-3B_Q4_K_M,41.120042,2.964116,51.810538,3.460000,92.930802,0.000219
Llama-3.2-1B_Q2_K,47.447063,2.697082,21.141330,8.442436,68.588580,0.000184
Llama-3.2-1B_Q8_0,47.279487,2.705690,19.139427,9.434609,66.419266,0.000353
bitnet_b1_58-large,56.010355,2.428336,9.070103,20.893441,65.080684,0.000227
Llama-3.2-3B,42.132401,2.893852,307.293778,0.666000,349.426386,0.000208
gemma2_Q8_0,58.135000,2.632741,43.362131,4.800872,101.498879,0.000249
llama3.2-8B_Q8_0,46.980359,2.692487,714.765005,0.309197,761.745627,0.000263
Llama-3.2-1B,47.839011,2.671584,29.319581,6.028731,77.158771,0.000178
gemma2_Q2_K,57.692000,2.654171,46.929221,4.357291,104.621736,0.000224
llama3.2-8B_Q2_K,41.671021,3.044421,123.163356,1.454470,164.834886,0.000512
phi-3-Q8_0,54.957199,2.459569,81.965681,2.286092,136.923098,0.000220
Llama3-8B-1.58-100B-tokens,55.370488,2.457795,64.916054,3.044224,120.286747,0.000208
Llama-3.2-1B_Q4_K_M,47.220775,2.709223,18.664365,9.601336,65.885308,0.000167
gemma2,57.555000,2.659890,74.929682,2.706648,132.483786,0.000214
Llama-3.2-3B_Q2_K,40.367625,3.019974,56.019533,3.173000,96.387735,0.000578
llama3.2-8B,44.982671,2.874225,1315.347833,0.153339,1360.331001,0.000492
gemma2_Q4_K_M,57.759000,2.649728,41.617309,4.882048,99.375400,0.000213
Llama-3.2-3B_Q8_0,41.270244,2.953149,55.942337,3.174000,97.212829,0.000248
phi-3-Q4_K_M,54.320751,2.487102,81.784264,2.303976,136.105205,0.000191
