whisper_model,Filename,Average NUBIA Score
medium,gemma2_Q2_K,0.185865256136412
medium,gemma2_Q4_K_M,0.25581120593951867
medium,gemma2_Q8_0,0.20507263427368944
medium,bitnet_b1_58_large,0.18789799919663705
medium,gemma2,0.2198511289439934
medium,llama3.2:1b,0.169029336397103
medium,phi3_mini_processed,0.12325942738340227
medium,llama3,0.26598654265229277
medium,llama3_8B,0.3717290828758142
small,gemma2_Q2_K,0.19299644143557343
small,llama3_8B,0.3685569022999883
small,bitnet_b1_58_large,0.21968619445479878
small,gemma2,0.25796885635853517
small,phi3_mini_processed,0.11516259810936358
small,llama3,0.2952874206261781
small,llama3.2:1b,0.16830360211199683
small,gemma2_Q8_0,0.1812264583926115
small,gemma2_Q4_K_M,0.20833520942797054
tiny,llama3,0.2349103674605982
tiny,gemma2_Q4_K_M,0.23083785326996226
tiny,gemma2_Q2_K,0.19419540384658188
tiny,bitnet_b1_58_large,0.18651819654382223
tiny,gemma2,0.24407472021831478
tiny,llama3_8B,0.4088217042828502
tiny,llama3.2:1b,0.13425684435934812
tiny,phi3_mini_processed,0.09079707077623124
tiny,gemma2_Q8_0,0.25177489185271856
base,llama3_8B,0.3872662378594052
base,gemma2,0.21699789823409815
base,phi3_mini_processed,0.09679355700247012
base,bitnet_b1_58_large,0.16045913297317896
base,gemma2_Q2_K,0.19384462411481002
base,llama3,0.2650174546112739
base,gemma2_Q4_K_M,0.21436840215566508
base,llama3.2:1b,0.13664045405782718
base,gemma2_Q8_0,0.25772357680903324
